white,WHITE
yellow,YELLOW
blue,BLUE
red,RED
green,GREEN
black,BLACK
brown,BROWN
azure,AZURE
ivory,IVORY
teal,TEAL
silver,SILVER
purple,PURPLE
gray,GRAY
orange,ORANGE
maroon,MAROON
charcoal,CHARCOAL
aquamarine,AQUAMARINE
coral,CORAL
fuchsia,FUCHSIA
wheat,WHEAT
lime,LIME
crimson,CRIMSON
khaki,KHAKI
magenta,MAGENTA
olden,OLDEN
plum,PLUM
olive,OLIVE
cyan,CYAN
